large 134 4 20339.83708253425 30232.947232425067 32865.81792475074 32866_scorched_earth https://170-leaderboard.vercel.app/input/large/134 missing_local 9893.110149890817
large 147 6 12521.433907730438 16466.122758043526 18175.892693624795 18176_scorched_earth https://170-leaderboard.vercel.app/input/large/147 missing_local 3944.6888503130886
large 61 10 4948.176928766389 8182.3911953310835 9393.44303274959 9393_hyper_optimized https://170-leaderboard.vercel.app/input/large/61 missing_local 3234.2142665646943
large 40 3 9720.967906719341 12912.612149386032 12912.612149386032 12913_glassed https://170-leaderboard.vercel.app/input/large/40 _ 3191.644242666691
large 215 9 5460.815003314424 7597.772010603969 7597.772010603969 7598_scorched_earth https://170-leaderboard.vercel.app/input/large/215 _ 2136.957007289545
large 149 3 5009.637877844622 7009.637877844622 7009.637877844622 7010_glassed https://170-leaderboard.vercel.app/input/large/149 _ 2000.0
small 194 4 7196.259650085521 9006.414050058094 9003.647857241496 9004_insurance https://170-leaderboard.vercel.app/input/small/194 _ 1807.3882071559756
large 119 4 26041.59711295017 27368.560881495607 27368.560881495607 27369_hopeless_dolly https://170-leaderboard.vercel.app/input/large/119 _ 1326.9637685454363
large 48 4 34145.356044872206 34933.56088149561 34933.56088149561 34934_hopeless_dolly https://170-leaderboard.vercel.app/input/large/48 _ 788.2048366234012
small 21 2 1241.13470489164 2010.797760513179 2010.797760513179 2011_insurance https://170-leaderboard.vercel.app/input/small/21 _ 769.6630556215389
large 185 8 1261.051797201087 2012.4208836769144 12158.456644224738 12158_hyper_optimized https://170-leaderboard.vercel.app/input/large/185 missing_local 751.3690864758273
small 116 3 1322.1333767973658 2010.797760513179 3313.8538391474267 3314_insurance https://170-leaderboard.vercel.app/input/small/116 missing_local 688.6643837158131
large 163 2 30861.66462030395 31379.560881495607 31379.560881495607 31380_hopeless_dolly https://170-leaderboard.vercel.app/input/large/163 _ 517.8962611916577
medium 40 2 76827.72829574501 77302.61407387788 77302.61407387788 77303_hopeless_dolly https://170-leaderboard.vercel.app/input/medium/40 _ 474.88577813286975
medium 30 2 92290.70329742126 92745.48515159641 92745.48515159641 92745_hopeless_dolly https://170-leaderboard.vercel.app/input/medium/30 _ 454.7818541751476
large 169 3 3312.6121493860305 4388.612149386031 3596.6121493860305 3597_hopeless_dolly https://170-leaderboard.vercel.app/input/large/169 _ 284.0
large 6 7 494.2023873427806 766.2277266951577 766.2277266951577 766_glassed https://170-leaderboard.vercel.app/input/large/6 _ 272.0253393523771
medium 22 3 1810.9503160762602 2046.6901536922046 2015.9446370298583 2016_insurance https://170-leaderboard.vercel.app/input/medium/22 _ 204.99432095359816
small 156 6 345754.3688118974 346087.3688118974 345911.3688118974 345911_sick0 https://170-leaderboard.vercel.app/input/small/156 _ 157.0
small 2 2 136521.01581064696 136647.41592657613 136647.41592657613 136647_hyper_optimized https://170-leaderboard.vercel.app/input/small/2 _ 126.40011592916562
large 25 3 449.2277266951576 566.2277266951577 522.2277266951577 522_pain https://170-leaderboard.vercel.app/input/large/25 _ 73.00000000000006
large 11 2 5860.815003314424 8262.466136536077 5914.804259093503 5915_hopeless_dolly https://170-leaderboard.vercel.app/input/large/11 _ 53.98925577907903
large 245 6 2801.6900202267993 3119.6378778446224 2849.801255627472 2850_sick1 https://170-leaderboard.vercel.app/input/large/245 _ 48.11123540067274
large 223 6 16361.543863625753 17196.130152600876 16386.913157391973 16387_sick1 https://170-leaderboard.vercel.app/input/large/223 _ 25.369293766219926
large 224 2 34908.275376374564 35263.63694137671 34924.275376374564 34924_hopeless_dolly https://170-leaderboard.vercel.app/input/large/224 _ 16.0
large 32 3 436.8281828459045 449.2277266951576 449.2277266951576 449_insurance https://170-leaderboard.vercel.app/input/large/32 _ 12.39954384925312
small 130 2 132137.71250700523 132171.91109705964 132149.71250700523 132150_insurance https://170-leaderboard.vercel.app/input/small/130 _ 12.0
small 245 2 3353.8538391474267 3367.2003861040653 3362.8538391474267 3363_hopeless_dolly https://170-leaderboard.vercel.app/input/small/245 _ 9.0
small 114 5 385535.3688118974 385542.3688118974 385542.3688118974 385542_scorched_earth https://170-leaderboard.vercel.app/input/small/114 _ 7.0
small 125 4 59774.31591025766 59780.31591025766 59780.31591025766 59780_glassed https://170-leaderboard.vercel.app/input/small/125 _ 6.0
medium 156 6 227260.9800856715 227262.9800856715 227261.9800856715 227262_sick0 https://170-leaderboard.vercel.app/input/medium/156 _ 1.0
medium 13 9 366095.4145999371 366096.1710292099 366096.1710292099 366096_scorched_earth https://170-leaderboard.vercel.app/input/medium/13 _ 0.7564292728202417
large 117 7 739.905609893065 740.092651636277 740.0096706164034 740_hopeless_dolly https://170-leaderboard.vercel.app/input/large/117 _ 0.10406072333830707
medium 127 8 3312.786328891362 3313.02869758731 3312.786328891362 3313_insurance https://170-leaderboard.vercel.app/input/medium/127 sleeper 0.0
small 185 4 3262.5685358765263 3402.5685358765263 3262.5685358765263 3263_hopeless_dolly https://170-leaderboard.vercel.app/input/small/185 sleeper 0.0
small 157 3 97225.6943210306 97680.15500661255 97225.6943210306 97226_insurance https://170-leaderboard.vercel.app/input/small/157 sleeper 0.0
small 199 3 123626.90918776828 126432.49323151434 123626.90918776828 123627_sick0 https://170-leaderboard.vercel.app/input/small/199 sleeper 0.0
small 89 3 88769.27302561837 91691.48951581027 88769.27302561837 88769_insurance https://170-leaderboard.vercel.app/input/small/89 sleeper 0.0
large 13 2 449.2277266951576 739.905609893065 449.2277266951576 449_hopeless_dolly https://170-leaderboard.vercel.app/input/large/13 sleeper 0.0
medium 46 2 739.905609893065 740.2965546041568 739.905609893065 740_hopeless_dolly https://170-leaderboard.vercel.app/input/medium/46 sleeper 0.0
small 27 2 155356.41592657613 157755.01581064696 155356.41592657613 155356_sick0 https://170-leaderboard.vercel.app/input/small/27 sleeper 0.0
small 82 2 154422.01581064696 154454.01581064696 154422.01581064696 154422_sick0 https://170-leaderboard.vercel.app/input/small/82 sleeper 0.0
large 100 1 449.2277266951576 449.2277266951576 449.2277266951576 449_optimized https://170-leaderboard.vercel.app/input/large/100 published, rank 1 0.0
large 101 1 5460.815003314424 5460.815003314424 5460.815003314424 5461_insurance https://170-leaderboard.vercel.app/input/large/101 published, rank 1 0.0
large 102 1 5460.815003314424 5460.815003314424 5460.815003314424 5461_hyper_optimized https://170-leaderboard.vercel.app/input/large/102 published, rank 1 0.0
large 103 1 449.2277266951576 449.2277266951576 449.2277266951576 449_optimized https://170-leaderboard.vercel.app/input/large/103 published, rank 1 0.0
large 104 1 771.905609893065 771.905609893065 771.905609893065 772_optimized https://170-leaderboard.vercel.app/input/large/104 published, rank 1 0.0
large 105 1 739.905609893065 739.905609893065 739.905609893065 740_coloring https://170-leaderboard.vercel.app/input/large/105 published, rank 1 0.0
large 106 1 449.2277266951576 449.2277266951576 449.2277266951576 449_optimized https://170-leaderboard.vercel.app/input/large/106 published, rank 1 0.0
large 107 1 49804.184684113156 49804.184684113156 49804.184684113156 49804_insurance https://170-leaderboard.vercel.app/input/large/107 published, rank 1 0.0
large 108 1 272.8281828459045 272.8281828459045 272.8281828459045 273_coloring https://170-leaderboard.vercel.app/input/large/108 published, rank 1 0.0
large 109 1 2009.6378778446226 2009.6378778446226 2009.6378778446226 2010_insurance https://170-leaderboard.vercel.app/input/large/109 published, rank 1 0.0
large 110 1 272.8281828459045 272.8281828459045 272.8281828459045 273_coloring https://170-leaderboard.vercel.app/input/large/110 published, rank 1 0.0
large 111 1 5460.815003314424 5460.815003314424 5460.815003314424 5461_optimized https://170-leaderboard.vercel.app/input/large/111 published, rank 1 0.0
large 113 1 272.8281828459045 272.8281828459045 272.8281828459045 273_hyper_optimized https://170-leaderboard.vercel.app/input/large/113 published, rank 1 0.0
large 114 1 9924.814293170424 9924.814293170424 9924.814293170424 9925_insurance https://170-leaderboard.vercel.app/input/large/114 published, rank 1 0.0
large 115 1 449.2277266951576 449.2277266951576 449.2277266951576 449_coloring https://170-leaderboard.vercel.app/input/large/115 published, rank 1 0.0
large 116 1 272.8281828459045 272.8281828459045 272.8281828459045 273_scorched_earth https://170-leaderboard.vercel.app/input/large/116 published, rank 1 0.0
large 118 1 31850.56858697473 31850.56858697473 31850.56858697473 31851_insurance https://170-leaderboard.vercel.app/input/large/118 published, rank 1 0.0
large 120 1 272.8281828459045 272.8281828459045 272.8281828459045 273_coloring https://170-leaderboard.vercel.app/input/large/120 published, rank 1 0.0
large 121 1 10823.56088149561 10823.56088149561 10823.56088149561 10824_insurance https://170-leaderboard.vercel.app/input/large/121 published, rank 1 0.0
large 122 1 272.8281828459045 272.8281828459045 272.8281828459045 273_coloring https://170-leaderboard.vercel.app/input/large/122 published, rank 1 0.0
large 124 1 3312.6121493860305 3312.6121493860305 3312.6121493860305 3313_hyper_optimized https://170-leaderboard.vercel.app/input/large/124 published, rank 1 0.0
